"plan_id","totalpensionliability","netpensionliability","year"
809,1.65438E+7,1.38854E+7,"2017"
809,1.67588E+7,1.41089E+7,"2018"
809,1.75839E+7,1.46693E+7,"2019"
809,1.77238E+7,1.47253E+7,"2020"
809,1.76474E+7,1.37626E+7,"2021"
813,814146,194245,"2016"
813,903199,208016,"2017"
813,976759,231588,"2018"
813,1.03349E+6,266712,"2019"
813,1.14004E+6,349635,"2020"
825,1.30784E+6,492762,"2016"
825,1.35239E+6,504865,"2017"
825,1.39416E+6,498651,"2018"
825,1.44128E+6,505347,"2019"
825,1.48721E+6,522964,"2020"
825,1.53155E+6,336081,"2021"
827,2.52216E+6,754347,"2016"
827,2.56263E+6,639927,"2017"
827,2.64125E+6,668137,"2018"
827,2.64045E+6,700062,"2019"
827,2.64908E+6,803457,"2020"
827,2.71837E+6,475317,"2021"
828,1.85763E+7,7.85255E+6,"2016"
828,1.87921E+7,7.03883E+6,"2017"
828,1.91036E+7,6.81993E+6,"2018"
828,1.95276E+7,7.24491E+6,"2019"
828,1.96914E+7,8.27067E+6,"2020"
828,2.02203E+7,5.50398E+6,"2021"
829,3.80862E+6,218942,"2016"
829,4.06781E+6,-86806.7,"2017"
829,4.31961E+6,470852,"2018"
829,4.45015E+6,-2527.17,"2019"
829,4.76564E+6,-201014,"2020"
829,4.8985E+6,-526924,"2021"
831,2.76014E+6,937282,"2016"
831,2.91806E+6,873042,"2017"
831,3.00718E+6,845406,"2018"
831,3.13245E+6,908168,"2019"
831,3.18097E+6,924233,"2020"
831,3.35003E+6,533055,"2021"
832,2.92724E+7,1.1737E+7,"2016"
832,2.97626E+7,1.02519E+7,"2017"
832,3.08719E+7,9.82802E+6,"2018"
832,3.15741E+7,9.92465E+6,"2019"
832,3.23409E+7,1.11236E+7,"2020"
832,3.30588E+7,5.33877E+6,"2021"
840,1.65462E+6,594250,"2016"
840,1.71635E+6,535435,"2017"
840,1.80452E+6,733432,"2018"
840,1.8225E+6,629311,"2019"
840,1.87207E+6,584399,"2020"
840,1.9297E+6,514231,"2021"
841,609080,255470,"2016"
841,629766,237939,"2017"
841,658353,292615,"2018"
841,723145,304174,"2019"
841,746340,285698,"2020"
844,1.307E+7,3.10962E+6,"2016"
844,1.34849E+7,2.59159E+6,"2017"
844,1.40312E+7,2.399E+6,"2018"
844,1.45472E+7,2.51166E+6,"2019"
844,1.48655E+7,2.82054E+6,"2020"
844,1.63924E+7,1.49171E+6,"2021"
845,2.43468E+7,9.01535E+6,"2016"
845,2.47943E+7,8.25363E+6,"2017"
845,2.55301E+7,8.07712E+6,"2018"
845,2.66198E+7,8.5244E+6,"2019"
845,2.75337E+7,9.28285E+6,"2020"
845,2.94124E+7,6.83496E+6,"2021"
846,4.05334E+7,1.29912E+7,"2016"
846,4.16333E+7,1.19021E+7,"2017"
846,4.29162E+7,1.14358E+7,"2018"
846,4.34892E+7,1.06863E+7,"2019"
846,4.49812E+7,1.17661E+7,"2020"
846,4.81498E+7,7.02898E+6,"2021"
864,4.1827E+6,541102,"2016"
864,4.27548E+6,341969,"2017"
864,4.34233E+6,193020,"2018"
864,4.36918E+6,52542.7,"2019"
